entity_name,latitude,longitude
Maᵗʲᵉˢᵗʸˢ,NA,NA
Honoᵘʳᵃᵇˡᵉ,NA,NA
Baldwin,40.663003,-73.61071
Percy.,48.91714,-1.18916
Companys,55.730774,37.735831
Grauesend,51.442515247,0.369395569
Iacob,60.0568483,30.4276519
Distresse,38.0221814,23.7987714
Llps,24.5,78.5
Stubbs,35.324318,-81.465179
Canterbury,51.279680521,1.078912922
Carlile,44.482978,-104.806165
Rolls,47.199339,-122.442742
Againe,54.2375,23.60888
Maᵗⁱᵉˢ,NA,NA
Loᵖˢ,NA,NA
the Business of Va.,38.068165955114,-78.69817164489
Cheseack,34.5337,-85.40579
Limitts,-21.9409449,-63.6692898
Powhatan,33.59052,-87.108331
Bromfeilde,52.388011275,-2.762316256
Barkham,51.396165864,-0.880635873
Keightley,53.867487377,-1.909622071
Originalls,51.2206683,4.4085395
Novembᵉʳ Annᵒ 1623,NA,NA
Seaven,-26.5206198,28.2988733
Honoᵇˡᵉ,NA,NA
Twentie,23.2328968,77.431845
Nouemb,10.08333,1.36667
Immunities,28.66627,77.30025
Imagination,40.68351,-73.91186
Treasuror,37.312506,-106.965595
Securitie,43.1334858,131.9241875
Desyred,54.5136339,36.2660673
Ambergris,50.8698378,4.2916018
Accompts,NA,NA
& Seale,32.298088,-85.170298
Buckridge,39.118502,-121.011444
Capps,36.235737,-93.188825
Nichole,19.599025,73.080108
Refference,4.0632493,9.7627251
Convenyent,52.05547,4.66196
Petiton,21.46667,-77.58333
Weston,26.100612,-80.399941
Cryminall,-24.1832304,-65.2999602
Lybellers,51.5147276,-0.1665434
Defame,38.765,-75.211602
Petigon,45.01667,4.48333
Nauigation,47.08256,2.38379
Warr,2.580884283099,30.880513937654
Nature,-23.6652779,-46.4500517
regaurd,19.9059699,85.9413744
Parlyament,56.2873675,43.9282999
Alden,42.900146,-78.4922
Webbs,35.528479,-80.9763
Negative,11.9,119.9
Balmford,53.614409364,-2.208059871
Molins,46.56459,3.33243
Shelton,41.316843,-73.092968
Memorand,49.183889,-0.3660476
Abden,47.6286098,81.455633
Basse,13.394627297823,-14.161443401675
Baynam,47.96667,84.35
Barnard,-24.03552742,149.736802065
Barnes,26.503836,88.798713
Bingham,52.95131737,-0.952859554
Bradford,53.790793103,-1.754564317
Martin,49.064963856,18.921264722
the United States,30.210718,-95.534477
Elizabeth Island,-38.417158023,145.371205755
Westover,39.6345694,-79.9696652
Canne,39.6287135,16.276359
Delphebus,20.8551545,-86.8962113
Sumerscale,53.986700462,-1.83973281
Mildmaye,44.042382,-81.118975
Choapooks Creek,31.999594,-88.4805875
